@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute class {'1','2'}
@data
28.0088,183.621,418.399,314.353,433.108,548.631,608.627,277.544,9.78375,75.7975,334.96,295.068,74.49,61.5988,57.1162,2605.19,523.833,11.87,96.4987,60.5452,24.2048,175.072,120.488,35.995,48.5788,208.614,89.3587,9.6275,472.619,83.3613,127.383,7.68125,'2'
148.041,185.322,193.85,111.71,536.494,199.369,194.148,49.0213,124.393,525.024,586.914,36.3887,304.919,61.74,83.6137,571.95,143.04,29.2087,91.11,20.7619,30.419,463.578,375.781,51.8138,35.2012,180.898,455.459,16.13,93.41,227.229,97.105,21.95,'1'
39.7575,412.073,620.471,258.267,180.935,378.265,373.1,89.84,31.6275,138.561,176.706,127.281,42.7487,11.8562,63.86,2336.16,138.179,17.8675,58.6287,124.873,21.3631,78.6663,227.181,45.4675,74.0987,632.944,359.508,20.6012,320.856,51.5725,102.205,28.975,'2'
222.559,230.691,228.63,125.09,954.411,155.812,179.119,51.8262,180.905,378.494,381.291,65.82,423.93,136.367,128.586,474.035,134.904,8.67,244.021,12.831,23.7893,6.3175,449.78,115.379,14.5525,111.217,488.413,67.16,16.3463,222.783,86.4867,18.4475,'1'
31.6975,3034.69,760.445,1560.55,243.357,1508.18,1605.62,296.631,53.2,145.676,143.796,537.885,119.165,41.8812,58.295,2541.84,527.088,71.6375,93.8512,192.765,29.5595,120.015,156.735,57.8,325.829,351.35,131.709,33.9775,590.961,57.0325,207.372,73.695,'2'
210.901,188.366,489.834,185.098,1015.06,246.44,271.712,81.2712,92.3375,741.696,529.893,104.941,175.188,89.76,88.7,606.591,216.136,34.87,216.281,70.8048,56.0036,38.5488,611.005,246.734,20.7488,325.47,1013.88,52.2837,161.549,228.596,85.9083,21.1712,'1'
30.5788,2417.88,1270.97,1392.77,242.68,1773.09,1513.12,1224.73,64.1725,226.566,249.534,1850.44,107.96,73.73,59.655,1500.98,2202.73,243.193,120.207,320.792,110.777,882.263,430.931,106.566,760.644,444.5,496.76,17.5562,573.189,144.364,287.637,85.9713,'2'
1528.41,182.001,79.3,93.2838,889.339,132.819,118.083,16.0425,92.7363,297.788,64.02,91.4812,669.126,80.1188,296.651,672.459,68.9388,45.4375,130.6,32.8357,19.1726,12.1962,322.636,16.175,23.0325,75.3679,389.966,53.0913,141.193,122.08,86.3017,17.8913,'1'
171.452,163.609,229.045,140.63,96.875,209.467,212.962,69.1325,13.3337,49.7775,38.79,107.573,27.5688,9.76875,20.9175,923.944,76.8613,20.7638,26.6238,58.644,19.8655,30.6812,48.185,13.0363,38.9813,210.223,100.099,6.875,233.488,14.9762,36.2783,9.82625,'2'
76.125,332.361,287.23,187.595,1097.02,327.181,343.977,102.759,161.686,610.074,1194.83,160.266,359.832,143.997,187.447,729.874,126.245,55.8963,335.172,57.1845,69.0476,48.8425,506.145,186.342,38.8438,193.571,522.695,65.0075,118.931,249.154,141.647,31.2237,'1'
169.137,103.426,102.507,105.716,567.586,149.421,149.652,85.4262,142.982,671.711,597.214,628.189,177.345,71.5825,152.75,287.57,289.741,43.6437,120.863,35.3119,41.3631,44.9663,353.4,110.06,34.445,150.993,459.135,26.9387,102.536,200.596,59.715,18.1462,'1'
213.628,339.771,144.409,236.521,284.384,343.587,348.529,137.654,115.749,870.63,315.734,433.69,95.2213,66.2113,127.769,651.025,698.052,70.165,68.9063,77.4988,29.6583,249.991,291.21,101.563,168.717,150.685,525.209,46.9938,331.591,242.663,98.39,26.71,'1'
370.04,329.869,254.694,215.501,1630.57,314.119,289.831,178.574,306.464,1364.69,989.319,409.652,334.264,220.044,352.135,865.766,635.38,75.31,268.424,46.0607,92.2179,168.619,1416.19,241.178,69.93,246.924,799.013,150.509,227.227,222.846,120.853,28.9862,'1'
114.924,448.474,286.003,281.86,674.096,448.085,473.998,413.355,369.565,1729.89,551.754,474.397,313.797,159.586,159.415,995.198,1090.84,137.849,314.861,135.118,130.044,517.4,1070.22,340.419,244.121,340.164,1256.51,64.5325,693.352,367.587,84.7833,56.86,'1'
326.426,413.325,241.356,393.584,1110.39,582.279,597.594,216.261,176.869,2497.87,949.813,247.991,403.64,115.217,234.074,1075.92,562.278,114.561,201.669,72.3583,71.5857,169.039,835.708,306.047,170.276,383.355,1655.07,90.8688,404.421,516.731,118.128,47.5062,'1'
311.438,471.479,261.011,566.896,540.657,765.677,739.273,664.963,337.849,948.407,1683.06,1185.03,333.649,93.6988,153.995,1533.31,4432.09,102.194,142.426,89.7262,112.54,741.864,432.69,322.534,313.115,274.546,1069.96,54.5513,263.379,256.964,246.56,101.32,'1'
186.277,812.821,175.815,306.003,572.403,562.306,663.108,111.439,287.055,622.756,487.065,229.525,336.569,107.411,166.434,762.148,578.247,70.07,124.033,190.13,23.1488,400.339,386.426,277.703,326.86,149.712,709.841,60.5513,215.865,216.798,177.102,79.8975,'1'
131.659,287.174,147.2,264.904,950.726,443.067,436.238,43.5925,126.994,1046.86,901.68,58.98,183.065,112.941,206.026,687.626,199.6,51.6937,322.191,66.7107,14.719,51.495,337.796,146.661,41.1025,150.568,518.159,114.899,161.111,148.249,115.665,24.6787,'1'
412.135,779.639,241.739,167.891,1752.82,683.194,472.146,170.104,267.712,1199.34,814.709,801.95,268.089,127.949,259.329,938.141,1341.51,101.205,393.654,79.1155,65.9226,241.413,712.389,167.674,126.641,237.792,688.874,101.228,222.88,367.606,203.825,55.96,'1'
284.146,505.99,214.057,287.451,716.314,378.092,364.579,181.665,115.749,532.794,369.886,356.513,247.238,90.8325,133.861,596.253,826.705,61.38,205.426,48.3988,33.4869,224.619,575.429,124.007,83.9413,156.995,647.911,109.26,91.4225,180.88,76.0233,27.8475,'1'
1178.92,219.72,60.5125,110.497,1925.45,314.86,287.398,30.1975,259.962,705.189,781.451,134.855,367.802,152.015,475.701,1004.1,163.216,26.4875,234.899,30.5881,16.6333,31.5863,299.58,71.13,39.1738,87.5643,528.963,151.313,166.934,191.954,109.073,29.3113,'1'
75.8138,250.281,280.291,180.729,855.966,352.781,362.34,401.69,163.914,310.31,463.626,285.663,191.356,109.721,108.499,571.422,424.205,34.395,277.3,97.9226,98.7012,184.622,786.086,199.211,102.879,246.995,470.89,68.9413,269.09,118.624,114.12,14.4825,'1'
1007.53,228.029,92.3175,220.481,1519.55,306.06,282.715,51.1463,347.983,702.385,1432.88,78.5738,275.98,192.033,370.22,716.155,157.566,24.4788,346.527,30.9679,25.6821,24.08,264.209,84.4825,26.8525,79.7119,275.481,128.652,125.734,158.45,108.977,15.055,'1'
36.8675,2689.21,437.011,1109.59,253.426,1881.32,1723.45,1214.46,84.1438,147.344,251.44,3413.27,94.7113,78.095,123.629,2052.91,2294.54,416.008,122.512,269.986,73.7893,852.518,149.305,24.4963,478.763,471.223,184.665,38.7887,1124.19,101.42,220.425,104.575,'2'
227.706,500.425,201.148,39.3812,1005.51,325.658,226.8,165.185,255.598,1444.79,1038.32,705.996,330.111,182.197,185.512,970.674,916.372,25.0912,308.861,66.556,60.6631,603.463,1162.55,108.604,227.945,236.267,711.164,121.225,333.612,365.003,123.345,62.3887,'1'
80.7387,335.69,93.0775,84.9938,451.66,181.344,196.512,182.519,93.0825,420.286,366.404,816.195,116.035,50.6775,96.0238,479.551,999.619,27.1388,163.975,29.6393,56.0786,517.776,325.909,56.3525,65.12,96.2702,330.076,54.745,133.048,123.251,84.6383,21.0912,'1'
40.3387,1765.19,543.286,449.395,577.256,1294.05,1263.4,480.356,83.3375,267.509,157.577,1640.26,112.268,121.202,215.83,2109.36,1930.1,275.525,255.363,289.357,103.127,817.535,398.689,64.0263,346.634,686.633,320.184,74.5875,474.224,174.021,600.745,138.428,'2'
76.9875,5832.32,2161.9,1550.91,933.26,1334.22,1094.67,2008.51,201.516,843.157,500.86,4695.22,273.95,38.1463,243.209,2934.91,3564.24,320.388,249.265,460.656,292.663,1151.83,183.496,124.66,1851.17,828.645,1162.87,287.21,1024.52,534.185,549.97,457.902,'2'
1813.46,846.975,302.895,275.652,3323.55,735.915,541.352,228.12,219.839,2374.16,2036.44,672.516,569.259,160.856,637.991,1657.72,393.175,111.375,625.469,127.081,42.756,119.67,1721.11,273.741,251.314,392.742,2864.91,507.421,259.918,840.922,203.397,90.3875,'1'
170.119,2517.47,1051.74,749.407,845.224,1779.68,1811.19,1494.59,98.7937,665.497,428.84,2896.35,235.136,89.425,278.969,2585.45,3396.84,270.67,260.556,535.829,200.192,1549.77,588.676,133.671,989.29,615.354,1020.99,141.214,1556.01,350.82,727.915,169.554,'1'
737.695,867.55,443.055,288.4,3262.5,605.985,453.288,103.128,416.092,1723.24,1548.72,584.357,614.401,337.645,995.052,1852.55,398,76.3138,703.802,151.394,80.0131,260.274,616.426,334.389,155.943,422.79,1927.63,393.349,344.184,929.9,355.502,115.589,'1'
270.196,686.536,170.089,182.135,3765.4,586.173,656.873,99.58,332.096,709.866,1843.47,1323.55,639.596,273.527,488.694,1264.38,248.996,47.6325,545.316,145.101,68.7345,69.9638,1055.67,193.059,84.1488,217.024,1121.59,108.669,165.001,389.397,351.078,69.3975,'1'
55.2,1931.14,481.009,328.367,376.783,644.662,558.246,992.031,154.792,374.124,134.61,2643.45,143.251,45.3387,178.232,2485.65,2529.7,254.856,92.5212,661.31,190.214,1111.87,203.474,83.9137,1138.22,713.696,433.506,68.06,2847.83,186.574,457.442,178.215,'2'
62.7375,1627.27,625.898,322.629,301.23,1117.89,1002.08,590.414,52.7438,331.095,174.398,2140.92,57.4137,57.8025,111.082,1667.33,1756.99,99.6888,104.316,321.908,85.6929,595.381,339.481,32.325,511.786,334.124,316.149,62.3563,931.46,235.087,183.847,81.1375,'1'
238.586,4642.06,1777.97,1063.71,599.976,2608.37,2570.96,2202.9,186.916,371.016,395.364,3827.74,194.366,66.94,179.143,1750.02,3819.86,439,55.9012,277.858,178.744,1336.26,248.611,35.3638,878.095,294.605,252.914,208.209,973.949,271.051,538.018,317.758,'2'
97.92,754.19,360.72,85.0938,619.378,194.856,211.981,55.1775,105.881,648.65,1004.59,251.572,237.342,44.3213,252.28,855.775,507.976,53.7513,171.426,112.561,7.22738,162.53,331.945,117.971,44.34,246.655,544.509,30.6688,553.74,441.369,154.383,30.5713,'2'
247.526,1082.38,356.83,339.1,1380.68,635.742,527.058,21.08,461.886,1800.21,1271.61,735.085,662.909,375.807,621.323,3246.39,651.091,80.9625,465.94,91.6607,51.9488,154.886,873.093,146.051,35.7012,305.238,1505.64,196.381,1487.66,628.924,328.687,78.1913,'1'
390.311,660.128,216.845,183.958,524.193,393.273,392.525,76.6612,131.533,734.229,1038.03,607.8,192.665,139.572,210.841,1284.75,829.388,98.8863,267.999,63.1845,62.2964,291.771,386.915,114.96,33.9463,190.5,374.644,52.5163,700.999,195.399,124.327,36.7125,'1'
113.914,3134.94,580.727,935.204,520.912,2310.26,2307.57,1343.42,88.165,184,370.345,4065.36,129.95,80.6837,156.336,2953.99,3321.51,235.973,181.43,218.754,238.118,2002.77,220.529,13.6625,369.755,357.827,217.171,81.0013,539.356,172.975,501.133,207.086,'2'
645.994,221.184,153.23,42.1287,912.52,99.5788,105.085,148.659,163.592,429.48,765.476,875.205,175.758,48.4525,244.215,966.508,692.128,54.4963,233.984,65.506,69.8643,444.394,514.064,35.8125,104.088,231.798,320.77,44.3563,222.538,301.699,115.778,60.0275,'2'
249.151,2787.04,371.536,733.769,510.735,1888.57,1746.38,697.328,113.666,311.916,414.134,2064.4,121.931,75.6687,183.206,2716.54,1426.79,260.418,154.867,240.064,76.6714,815.116,104.857,32.8413,537.2,341.264,239.746,95.44,934.086,197.651,438.678,175.783,'1'
117.185,657.41,248.541,107.524,361.34,480.74,442.294,374.2,89.64,269.435,267.587,1483.53,166.176,63.6125,133.401,1491.55,2305.21,90.615,120.56,41.6929,36.0107,1436.67,16.2925,24.73,298.591,147.258,135.128,23.1625,477.978,160.945,467.343,53.5475,'1'
104.781,175.229,114.88,42.74,504.62,127.385,134.119,88.5663,72.815,312.976,404.705,690.195,483.116,47.65,91.2262,536.552,525.177,36.46,111.24,11.8595,55.4048,254.299,421.414,117.111,23.7663,143.87,447.013,30.0625,58.3138,203.952,42.35,9.035,'1'
124.919,966.085,238.762,147.19,2363.19,443.162,376.508,83.5137,190.519,1043.13,906.057,629.794,396.87,142.753,614.726,2181.83,575.506,7.825,282.209,87.8036,78.2083,187.465,237.684,101.999,108.861,224.113,1171.05,118.341,1632.13,579.285,136.327,56.4525,'1'
117.603,1817.94,476.195,373.771,356.862,659.081,697.112,887.695,67.7375,357.18,246.887,2395.78,59.4888,59.6125,71.1225,1744.86,2163,391.348,114.571,343.099,132.996,1127.2,369.225,47.59,734.768,919.773,514.563,32.535,2459.54,243.99,221.842,107.84,'2'
519.081,272.929,103.104,52.955,979.523,220.748,191.338,58.4775,131.875,997.188,583.602,239.723,176.19,63.3213,236.335,702.75,398.934,40.8688,179.166,58.3702,13.6929,159.699,364.196,74.1075,75.1288,198.931,911.409,54.2875,100.39,316.747,99.9383,22.6875,'1'
567.131,2699.19,596.045,549.095,437.125,1155.61,1240.58,953.954,125.914,477.263,356.246,1875.55,167.109,82.0475,159.488,2287.51,2011.47,197.09,93.0612,216.551,116.279,1123.05,271.235,51.9087,521.124,337.373,481.503,60.3775,979.904,247.069,641.328,166.473,'2'
