@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute Class {1,2}

@data
903,-158,-151,857,1722,-1657,4326,817,878,-1484,2662,1,-289,-937,1265,591,-442,-1687,-1546,2924,1
-945,195,1867,-654,-795,489,-1381,-1931,-439,-1563,-744,217,-2765,1443,-698,98,2279,-1372,-3388,191,1
626,2194,994,1881,724,-37,1615,805,709,1182,117,1119,-487,-376,-787,1315,727,-1318,1315,-139,2
2019,-787,2098,557,1907,-937,-934,284,255,2256,-292,-848,795,-17,2041,2964,-218,1198,77,-1256,2
2191,68,452,52,916,1555,736,-132,1967,-2404,1067,1136,1705,203,-542,547,-1279,589,-1062,-896,2
2212,-1694,-533,67,-1763,9,-882,1158,-516,1889,-853,-1129,-134,-1822,303,-1829,-281,3215,-505,-1286,1
1306,909,504,594,118,-341,14,-61,12,133,1559,-202,2786,3866,3054,261,-572,-656,745,-573,2
449,985,837,-312,4343,94,-517,-2368,-959,896,-1683,-1285,-114,-26,1408,-1306,-1231,1928,-2833,-1164,1
2563,-1449,1505,-2023,-1027,2366,556,-1954,4122,2748,-1536,3128,-151,-132,721,2122,-2611,-2612,-473,68,1
-828,3,1504,-3182,-1667,25,-4599,-1431,-316,-1546,-2734,-1772,1692,-124,4311,-2008,4266,-399,-707,-1995,1
1262,518,2864,-1292,-5078,-47,313,417,-3454,-503,2544,1316,1242,-37,-2825,198,1296,-3698,1378,2362,1
1668,1046,-892,1126,1048,576,61,-288,2006,1481,722,1288,384,902,1595,-729,437,-156,1392,-323,2
1305,204,-394,953,222,-1443,5,1049,1833,-1816,2768,-928,-195,1521,3833,-193,1984,33,-2919,-553,1
-892,1352,634,35,506,1136,-1563,25,-308,-1812,606,34,978,258,24,146,1302,142,23,718,2
568,1177,2405,65,-942,71,3324,-282,-297,-158,-418,1135,1287,512,-634,-1552,327,-502,-1106,-547,2
4938,-719,-114,-392,-128,-1174,-33,-61,-125,3066,-2004,-981,1414,-2735,199,1467,178,-3348,-423,3378,1
-1163,-543,1239,446,-3732,-1951,166,-162,1399,-137,-46,72,-276,-322,1301,-282,-83,1108,2262,1392,1
1354,344,11,-2036,1583,-2839,1081,506,4428,-2267,3829,2246,671,275,-287,-1255,3584,361,2297,2462,1
89,-74,-526,1415,-154,489,-249,1257,84,655,239,667,836,213,-83,1152,1144,2801,2162,1371,2
-2907,-639,1224,-2121,3932,-2147,-1,3571,-1833,244,-74,-3299,-521,-183,281,1501,-447,1403,86,1095,1
74,1193,341,62,-2109,333,-21,2762,356,-3916,2528,2466,3257,994,-3216,243,-1288,53,1199,2526,1
-623,925,101,1955,-241,702,569,-1512,625,298,-31,1191,731,956,479,1967,273,17,859,735,2
-2897,2689,1745,-2662,-2081,63,-2164,-1767,-1045,2514,1287,-4,2321,-1347,-2357,1378,-48,1135,-1886,159,1
-2853,-1406,-2902,-122,88,-259,78,-6164,-3252,-485,703,-348,-317,-1046,78,104,-3832,47,997,98,1
1143,618,1154,2162,868,-76,205,-64,639,-33,261,604,-707,39,124,551,73,701,184,803,2
127,-1396,-14,-343,-1101,958,2484,-52,-1466,1426,-1647,1228,3364,-882,2381,1419,848,263,-2306,-1299,1
244,453,818,-3223,-2318,-95,-1738,2462,-4581,1753,3709,848,4672,-88,948,2745,-1111,618,1573,-1026,1
698,2911,-318,-1031,332,-1298,1043,2232,1685,1355,623,-127,392,749,-322,-657,-879,127,-666,19,2
87,3034,1932,5094,-4293,-2943,-241,-3455,5762,-12,1284,5028,186,-3381,-195,-1562,-2779,2788,-131,1588,1
-434,239,-887,808,-278,-776,826,-193,2143,-1727,947,1451,29,377,1774,612,304,-979,578,842,2
832,873,238,-1591,264,-1102,1267,-174,-18,874,-492,66,1956,2323,-1366,338,-396,1061,-792,-96,1
2725,-314,377,1045,536,-1496,-221,-176,4247,2791,643,-2048,-2869,68,-362,-1294,679,-2423,-102,4513,1
146,289,1366,-877,146,8,624,149,567,11,96,2627,-442,-988,1791,876,-249,2676,484,866,2
-148,-173,622,1136,-249,-48,738,-101,1266,-55,-2348,1662,235,163,16,1318,151,422,2022,1138,2
67,1762,983,605,822,138,107,1678,-296,-361,192,1324,277,0,2093,-408,1708,-638,-1745,884,2
-2564,-536,739,-1377,209,-971,-66,-2061,-3636,-3053,1958,-1382,-1562,2082,-166,-1261,438,-3838,-559,-1433,1
-831,127,-764,-1826,264,-2861,-3332,1673,-843,-793,-3285,-805,1342,581,-1053,-5426,-1076,1226,-412,66,1
1753,298,826,-716,888,555,609,562,166,26,-229,-226,243,-1,-1617,913,1841,-742,-146,-344,2
2891,-608,-633,2319,3843,-335,2522,2787,-2532,1289,1971,5856,-486,-3639,-1547,105,-1834,-325,988,-2407,1
-291,-654,1568,-2044,3824,457,-1116,-537,-3795,2014,1665,-2523,3879,-657,-1383,-203,-962,-1771,-1953,-3288,1
1184,-1025,513,672,1486,257,335,2603,158,1151,561,912,927,139,787,-35,3,-857,562,1147,2
34,3296,-83,-85,959,161,2326,-66,1217,237,1228,652,-754,887,1781,656,1172,395,988,272,2
516,175,-335,-2057,-1229,974,135,1486,-2736,-999,2214,-1686,-2912,1505,1452,233,1733,2089,1258,-3647,1
-298,791,1994,-479,-927,2394,38,1283,-2815,3649,-2436,-1654,2224,-3142,5817,3381,4779,-3182,-1604,907,1
-19,94,1245,171,1737,1723,137,-1271,-516,-294,93,1483,362,1771,2478,-1234,988,519,434,-906,2
29,1841,-222,5183,14,-1277,1427,-1134,-111,-1288,-1789,-828,-4637,46,117,-1051,848,-2997,-723,735,1
1332,-91,1243,-35,2332,876,21,623,735,1327,744,296,1511,711,-698,-746,241,-68,603,2566,2
-437,1061,-742,996,57,646,829,1926,1355,-307,-29,413,2271,463,1383,792,1119,712,1343,1178,2
3333,1133,1623,-1915,2069,2144,457,814,9,97,1708,-4284,2354,-2837,3227,-465,-2107,584,-875,2097,1
-3264,-1188,1477,339,11,-1529,978,-1864,-3376,1053,-1986,-132,539,-393,-5536,689,4206,723,1152,1101,1
1263,2132,-1236,1203,-1804,-147,803,-259,2204,-581,-228,241,116,1486,-1416,-89,262,875,136,817,2
244,355,1602,1038,1237,1995,1564,251,859,-196,173,1339,-92,-901,632,-146,25,1196,1804,45,2
-93,1471,-489,-2165,258,1071,-2552,-3047,-2402,2695,506,-121,-1681,1227,3738,1489,3961,1145,2497,-1319,1
747,59,-2682,2448,-1195,888,-383,-1535,-639,-3293,1247,-3302,-281,1689,414,-884,2078,1368,449,2014,1
-552,4628,-3037,2506,-24,722,-1148,-218,-192,618,842,1747,616,-206,1191,239,59,-4124,-2396,-96,1
-1503,-151,-995,611,-108,1,314,1841,796,1623,-686,1673,-332,2293,2255,132,275,31,-907,1251,2
-1058,1494,-739,1244,-291,346,-825,656,2902,2322,-432,-296,673,481,-748,-148,806,679,3561,1103,2
1333,183,883,-1837,423,-29,366,1246,1373,881,-8,1697,-227,2506,576,664,-812,-998,718,21,2
-833,1462,211,2147,155,364,2224,1709,3048,-2469,1035,-97,-252,-258,28,1089,-814,154,1288,-374,1
-2158,854,3823,-1506,-1497,-1432,-1768,-1784,2209,795,1573,2967,-286,-1593,-1334,2153,1838,-2576,-1016,-1115,1
54,16,1771,51,136,196,961,64,412,-35,115,-457,1567,728,768,-96,-1258,945,153,963,2
1667,-833,-2664,571,1571,344,794,36,381,1536,-126,747,55,149,1494,1095,-58,-1314,522,-96,2
-179,-1441,1915,1579,2042,-728,1632,275,209,211,1144,1236,-1295,2962,2515,1756,1248,-343,1861,86,2
44,-25,538,47,-1415,208,-1243,652,93,786,-105,1421,-278,1222,175,18,-48,595,-801,-115,2
1605,-157,75,1598,1198,-595,858,-72,-1553,-261,1717,-389,1559,67,1356,933,733,106,818,4,2
9,-42,665,2124,-2372,202,822,-1462,692,-1692,441,771,499,494,-1521,-2694,3153,2208,1201,564,1
2426,1127,452,-758,-216,81,2129,544,2487,-971,1591,-45,463,-788,1082,-889,-68,319,845,99,2
-2323,-2483,3073,-3387,-3786,3677,-3593,-4427,-908,-9,-1079,-1843,1324,1879,-348,-916,-743,-11,-1231,-1885,1
-2544,-6006,-973,619,-1478,2964,55,895,-1106,-1223,-3641,-674,1561,-452,-199,-541,1016,-105,-1538,931,1
585,-3,207,1749,791,1504,147,732,-2265,-53,98,-848,1097,-26,1042,-683,701,-454,1598,946,2
-826,-1342,48,-3042,1732,604,-397,-138,-1372,329,-3635,1057,-215,-505,4745,128,2863,3987,-536,-993,1
44,1674,-876,974,865,135,-175,-358,-94,1853,-428,-906,-392,1685,884,363,1366,-676,-15,1507,2
-1888,-983,-478,116,378,-14,-478,-706,-1617,282,213,17,627,2577,-697,-1081,-728,2165,-834,214,2
692,216,277,514,1186,781,-1047,-939,67,-1555,-864,-1005,-1193,1839,1164,-1378,1422,138,636,951,2
-584,925,33,-405,522,-1236,484,-278,343,72,441,-2654,1832,3242,1437,8,-522,324,1665,945,2
457,-66,411,-522,11,2544,261,1519,999,1393,-1014,128,581,1264,1184,986,641,-1303,1656,2324,2
1398,68,-368,571,-1411,-19,1262,-3436,28,2435,909,144,2094,152,1028,648,-137,147,613,-348,2
1995,-954,-979,-1066,-174,-2454,-31,-36,3111,1555,909,-82,-2784,-1303,117,398,1022,-1001,-3502,166,1
1222,-212,-2104,1954,346,-266,-2575,-878,1384,-1309,-752,1591,-1776,608,2329,3814,-2843,2163,136,1419,1
-631,-3703,-1451,-3862,-1992,124,-183,-2146,-428,-3797,665,268,-1942,-1633,1386,4,935,-1218,4101,-667,1
-77,1435,-1635,709,-1179,-17,351,132,1216,463,608,931,5,599,313,-1229,-229,12,-467,371,2
-587,2316,-285,-994,-1052,-1249,1032,-1661,22,132,-736,723,-1967,561,-1336,-2623,-296,274,-3039,1695,1
3078,328,-1782,-1425,-698,-828,-1724,-644,-3044,1196,1395,2392,1001,2518,-102,134,-1243,1418,2257,1905,1
1133,5104,-2976,-1265,887,-74,559,399,44,2126,-829,1796,2892,1232,-1358,-2046,-4468,907,1152,976,1
2787,-3218,-243,3112,2844,-3411,2408,1281,-9,-379,-1245,-2453,-1177,32,-499,-3856,3958,746,-649,935,1
4,14,-1169,-18,-36,429,-59,-3423,88,587,-44,-18,752,254,-108,-31,-264,4546,-503,2485,1
108,-3234,1868,-1689,-4033,-231,2924,3606,1259,-2374,216,2246,-572,-2175,4215,141,888,2063,1567,-1862,1
1132,344,558,-107,168,235,1935,-1003,336,369,274,-12,224,-249,-51,-49,1242,-671,648,-65,2
559,954,2184,108,-245,1197,-1519,-517,1018,479,1453,853,339,76,191,-1157,2598,1447,1969,-27,2
694,164,589,1435,-172,1297,-868,-27,-412,1856,-148,-821,-572,-2203,-178,431,851,-1091,1112,103,2
-1171,-233,-3156,-614,-46,105,882,1384,-2264,-2675,-1195,268,656,2906,1167,216,-1282,1378,2773,912,1
-356,-244,172,5,841,1122,1519,-253,892,275,782,928,-316,77,1746,14,492,-456,192,1133,2
-597,-942,-713,804,1175,-784,-359,922,-1176,-477,277,2736,656,-1034,501,1212,-1355,1601,599,73,2
-695,-254,3166,152,-205,-1182,347,1631,2887,3548,-543,334,-438,388,-492,357,1232,-2573,-3383,-383,1
-1118,437,1628,916,-268,-285,468,98,-596,-504,1888,-542,636,692,-1036,869,-125,-689,-623,51,2
-2142,-29,582,62,-608,-2136,541,-498,646,1036,-281,1723,2235,38,-1929,-1186,164,3076,-1525,578,1
711,2993,-1685,-279,-1619,1692,-1955,-81,-2745,-3139,2321,-74,-4303,3263,1195,-2682,-2403,83,3691,-2283,1
1746,1305,691,2254,2958,-219,11,802,247,63,356,1105,-534,608,189,39,1521,942,1111,2319,2
1185,-2364,-937,-1229,3316,674,-994,33,2123,1346,-201,-1312,2085,-3186,858,-203,1583,2366,-993,969,1
2345,348,29,534,1,11,2479,372,72,-35,-213,2139,348,105,395,1098,-421,497,-19,-518,2
-629,1305,1945,778,2263,-809,1331,924,661,-244,131,154,627,123,-1073,-821,251,-43,968,585,2
403,3661,118,2465,-457,1806,684,11,1893,907,1451,-42,2218,698,-182,1724,211,-572,-127,509,2
635,1768,894,497,223,1067,-619,4,652,-521,1297,1062,-418,-1335,1142,644,2481,125,-496,1981,2
793,2351,-94,1079,43,2875,329,426,1882,-203,-22,1117,548,564,1146,258,-284,316,-1047,1613,2
794,176,-7,153,-966,1767,429,-634,586,1398,839,1221,103,214,452,1089,-1982,-129,-26,743,2
64,-143,107,3851,-1005,1383,528,666,26,-136,1871,813,-998,1123,148,-1,-1433,-17,984,-442,1
52,506,5137,998,539,-2894,2347,1056,617,-981,-424,-623,153,2961,-1083,-1605,-3465,-1233,-231,-1816,1
1195,-823,448,-2031,-147,947,608,282,-636,-73,-1408,-147,18,-43,756,326,543,818,-1435,203,2
1274,1776,-1859,-279,971,1537,2196,424,787,2242,1677,2261,1127,-1728,-562,839,2071,498,231,1777,2
1392,1066,1567,2092,1129,1494,67,275,13,1059,603,1032,2234,536,281,-1003,1621,1372,2353,2559,2
-1508,3214,-142,882,1349,1039,-2,101,731,419,-1042,2459,833,746,463,956,1408,276,-19,6,2
955,924,-191,2078,866,132,-126,287,-537,1102,1838,2282,-37,1962,766,-323,682,27,2366,2257,2
-3694,1538,-4887,-1025,-1733,-4824,-3207,486,-131,-258,-2538,-742,1767,-201,2137,2261,391,-1116,-98,3052,1
1587,-409,-2343,-1377,-649,-2787,2384,116,-2418,-884,391,-1243,-703,57,-1832,-1472,-2527,-3421,-1172,-3435,1
44,-869,172,-166,695,-176,1778,-19,544,1517,119,1822,1042,-282,147,1595,-385,1163,153,52,2
206,-3238,-2614,-274,346,2059,-2822,1696,-2702,-1386,-913,1219,-65,-2387,727,372,-1118,1,-2709,-2987,1
-71,373,1603,1505,83,505,1362,-624,31,-872,64,799,1837,1299,1822,-166,-1983,928,658,989,2
-3211,-181,-41,-1654,-563,-3053,36,2626,-471,67,588,56,59,-1338,1286,3502,754,-1033,-205,-1158,1
-192,714,1448,-96,-1684,2576,878,878,174,949,56,-754,-208,-204,1262,-501,589,1551,-344,-28,2
335,-2282,795,-4517,145,139,189,2233,-106,1843,4217,1649,-655,-1661,715,584,109,1126,-1131,-643,1
-665,2166,186,715,-2045,-2029,94,-3457,4318,-2472,8,-2332,-414,-1057,1554,-581,1046,1779,1404,-461,1
1018,144,-666,936,-644,-1219,1523,1112,1314,1281,497,-1365,-595,-331,626,869,894,1272,1021,-129,2
-296,854,54,-417,142,-4889,-1805,-4748,3541,-863,132,-2251,-1207,-2987,-743,-925,1872,213,1044,2491,1
4598,2052,-1524,-305,-2826,838,2959,-1126,568,-615,-3212,2366,-49,-1655,-24,303,-3876,-2042,2629,85,1
1382,-1521,1668,266,1673,-337,-244,-408,-16,-272,1068,-959,169,2835,-278,708,759,579,-836,-37,2
1863,-3846,-632,2659,-1732,1977,-1362,759,-1301,-1874,1192,-129,-957,-1682,765,-119,-2451,4767,-1298,482,1
-5182,135,-3199,-194,-1886,-2878,2829,-1283,2165,-1517,1191,275,1203,57,-1069,-1753,-834,-377,-2678,833,1
-333,-1463,-357,-44,552,-1221,41,671,1643,1134,876,1832,272,2038,1744,864,174,-84,27,78,2
-373,797,931,818,1405,-124,-247,-253,388,122,1776,13,1597,579,-855,101,661,248,694,-1108,2
1367,1459,539,-1472,658,-969,-2368,-243,1485,-1266,588,1199,-435,86,1422,1359,3591,-118,-1076,244,2
-83,178,344,-906,2626,1304,715,-22,1647,1305,-1836,1984,-906,553,-102,193,239,12,3228,1795,2
1562,1386,-1497,42,-555,-105,773,-349,-682,2043,237,-405,1669,1856,46,1358,43,754,1237,974,2
-75,801,257,779,-396,177,-59,74,1612,813,1784,554,-539,632,1183,97,-1056,8,458,961,2
2549,76,1593,-1015,904,-387,-908,165,626,-503,-2519,345,-192,-1449,687,72,21,-145,1224,2462,2
602,39,59,823,972,1654,1064,138,606,-258,1144,-915,-404,1674,-383,401,309,1305,-229,-49,2
333,3992,-457,-1014,1787,-138,-1668,1342,316,348,-151,-2306,-588,-95,244,1159,-1133,-1736,788,1128,1
1428,626,1582,36,746,-66,-48,23,1596,765,-123,426,2061,99,1794,1345,1072,-1371,1341,-434,2
-301,955,2069,-1359,925,1428,-1092,1255,636,598,324,-949,608,673,1491,101,-322,-1088,1558,2145,2
-965,36,-354,466,-358,-166,-931,245,172,1076,734,939,-153,138,1081,685,554,1533,1685,-993,2
-2365,1816,4795,-1963,-671,102,2301,-3447,1263,-2274,-694,-3271,2441,-247,-3499,2217,1802,475,-65,3928,1
-526,1665,-1604,28,-522,-2316,-132,352,-1818,-1947,-1308,-926,-69,1203,1212,-3303,2275,2427,77,2338,1
-1053,-4108,2634,1657,-2052,569,-2044,-89,558,-636,217,-1707,299,-32,-721,2357,3686,-2108,2491,782,1
-101,1142,34,-953,-2399,528,1324,932,1149,42,-1038,715,602,-298,302,1768,1011,-131,314,114,2
304,2502,-582,656,-53,153,244,964,-173,1873,-335,2522,675,1099,-77,1445,-1315,483,-459,191,2
1091,-776,512,-634,576,368,-808,147,1113,122,-163,1438,173,2778,2244,-923,622,-358,-1276,854,2
-3424,3879,1337,-764,-587,926,13,-1544,426,3462,2078,-208,-157,-335,-2248,457,654,-3478,1964,3723,1
44,589,-291,1113,782,-4,115,607,2198,-132,426,418,926,892,625,53,552,1519,231,651,2
764,15,-1532,359,-1987,-8,1171,-1239,194,2751,-424,-1218,-2394,1088,2635,2874,-762,-952,-218,3304,1
-433,-763,1173,891,3192,-3852,-73,2161,173,-755,-2609,125,-1432,-2073,-2682,-585,1688,-4769,1186,-558,1
326,214,-98,-778,-236,151,-26,-362,1006,227,436,1405,-313,588,5,-738,3195,494,557,1203,2
-47,35,444,146,843,453,-24,163,292,959,7,33,-19,1452,2307,323,411,9,-1,597,2
-4928,667,-3107,-3367,-2081,-2713,3088,2809,589,-1783,1222,296,-2602,-1794,-2544,-837,407,7,2093,1921,1
401,346,-4165,-1196,816,-99,1199,3642,3732,-9,3515,-3411,304,221,-96,728,1364,-761,-2901,2671,1
-321,2073,-4109,129,1142,-2212,308,1013,125,-1912,1785,-4759,-3959,-1147,158,-2337,1627,-15,3297,68,1
348,31,-182,-1121,3133,-155,854,1067,1829,-357,1618,-466,51,1214,965,999,-428,-125,-839,338,2
228,5789,-425,-369,-2433,1611,-54,-101,167,366,-1766,-85,1487,-277,-646,-324,-1768,-1429,-1308,95,1
1622,-1218,-1277,-3787,-706,-3461,3581,2866,-424,2804,-2826,374,2195,-5771,-565,2938,3,-84,-315,59,1
958,-682,1056,864,86,-444,-212,-353,-681,367,-2209,988,156,-222,1005,161,554,3,-89,821,2
731,-406,1525,173,152,1366,421,2115,269,-1774,-623,-658,-1556,109,1488,-18,-573,994,2004,1256,2
-2206,-1423,-152,-692,-104,-267,-122,221,-1557,1464,-952,-2809,2168,193,-3214,4811,282,1572,-2244,2298,1
-723,2776,85,889,1126,1388,72,1731,322,-231,672,818,144,18,524,-955,-645,-36,502,338,2
-1077,533,921,-1103,127,708,-6,108,2422,913,2542,1731,143,-974,923,1263,496,1805,-314,-376,2
-572,-672,-1616,1344,78,-1426,3082,-1615,-598,-82,-3909,-529,-213,4055,-4963,-582,-128,-836,-121,-381,1
1437,-3662,-2989,246,1676,-1487,879,2262,-69,-1044,1442,-437,-2184,552,1612,2511,207,4024,4011,-3193,1
3486,186,-73,15,251,-234,-2005,115,358,-1624,1706,101,-1072,1114,-52,1357,2092,-886,-894,-1357,1
-1274,1417,-1559,-2109,-1148,1091,-2429,-1745,2086,-1917,26,-831,239,174,-106,-19,3222,-2365,-3548,-332,1
-553,411,1011,2809,112,-96,1207,-31,1165,22,1035,209,-579,283,366,1852,-202,722,247,201,2
-1387,-59,-243,-1917,1039,2253,6,-3447,829,2507,-713,554,3179,-1816,-2961,-3894,-82,1323,2298,-1727,1
858,26,119,-759,1458,-138,1732,1852,403,1525,-1064,-112,297,39,308,-878,1628,-836,-736,719,2
-1273,-612,832,-561,-391,-1162,866,-622,339,646,-397,-16,1849,1885,-76,-12,849,1539,1058,712,2
1086,-501,-549,469,-473,258,1092,473,184,1251,-216,2225,-69,-818,186,-942,276,-458,-123,1,2
-958,871,613,-408,2051,1113,45,-536,1423,582,511,-315,516,1568,173,-15,113,108,1634,102,2
32,962,183,1113,1209,532,659,-596,-231,75,272,-1647,-266,-639,421,1397,-199,-571,-29,1588,2
1685,-804,-1855,1678,2358,-3178,2904,8,-2967,-698,-2378,3102,2801,108,121,3129,-1809,1265,774,-1516,1
965,-452,-668,1274,244,2046,707,78,996,1148,-37,692,2269,2238,-1832,817,359,308,59,1552,2
-669,-8,1951,128,624,-1934,125,-3126,819,-17,-3,-2727,227,-2296,-112,211,-217,-1918,227,-1439,1
-875,36,-3821,2377,669,-13,3504,-2831,-974,3198,-1938,-1247,122,371,545,1338,995,2387,-1509,-442,1
-1709,2213,-895,1007,-1344,1856,34,-2131,-1151,1524,584,392,5408,1874,1896,534,1147,-77,1167,33,1
1686,683,253,1131,133,413,-697,16,725,234,48,1107,-22,828,247,2167,349,581,-823,-1646,2
-204,3454,-56,344,87,858,-908,1193,1802,1273,716,1194,651,232,-539,1186,-39,176,1375,-436,2
1725,1119,-1126,-574,463,1109,-835,-58,1486,228,112,991,244,-357,-1351,3114,666,1146,391,208,2
1294,396,-514,609,-188,594,-33,-67,793,1097,-81,574,-245,329,1107,1441,-82,-555,527,365,2
-789,-952,-1208,93,-244,-526,4,221,1718,-253,2907,-605,1538,-2355,-482,2149,-152,739,-1499,2036,1
1138,1498,-95,983,436,731,-1397,-86,1467,1,-252,1605,-168,376,115,-161,-1868,199,632,-261,2
802,237,67,-396,-1069,916,-2,1056,818,1396,968,235,212,219,-213,652,1808,-145,-1003,1997,2
-59,-148,1545,-1082,394,-527,-784,651,-372,-2017,-263,-61,-433,99,-263,912,49,46,-283,217,2
352,142,1224,956,-184,1182,24,1345,1195,-1341,-1943,199,32,-1008,2578,764,478,667,823,1693,2
1616,1567,2772,-1379,-7,338,-989,-478,2701,-414,-33,-653,133,2312,393,-406,-63,-753,1164,605,2
-43,813,1286,892,151,-36,312,5,1895,1706,-842,267,664,2195,1048,1756,3,1369,755,607,2
282,1449,-2183,44,128,1199,-17,1113,-1278,752,289,-2527,-1026,1665,-2458,-292,2877,1731,-871,-2376,1
103,656,1041,1209,-732,1154,-1037,-642,143,856,66,2426,104,1308,26,128,-533,398,-598,12,2
-26,224,1107,904,1666,1633,285,2314,733,747,1643,358,6,644,3,344,1409,112,1985,1375,2
903,-946,1487,198,737,1342,-704,362,606,579,-412,-915,-1816,782,-12,37,-155,-168,1369,255,2
54,-2384,1309,1048,1881,1601,-1025,546,825,368,429,893,2057,424,1488,566,1753,14,479,1257,2
796,195,989,345,223,146,148,-13,1694,1288,836,-1488,702,135,-1281,-235,284,1152,-1669,1107,2
-1622,-739,285,-1009,1861,-2614,-753,-2787,988,1446,1814,-12,-1976,-485,225,1385,-1584,-1869,114,-18,1
-687,-537,1328,-431,-1881,1627,88,1405,-421,62,804,1101,-91,1111,-158,-509,2627,711,276,54,2
-1274,678,784,278,1226,-251,7,932,269,-648,1733,-181,1562,-758,273,728,172,-15,172,612,2
-2393,-2546,819,92,414,2632,-951,-4072,79,-171,-151,-2917,-2292,2904,1347,-3162,642,-1592,-2313,512,1
448,16,3744,-1343,-34,384,-2129,2567,61,-638,1925,1098,148,-2748,3136,-1514,-303,-1735,1735,173,1
153,563,1111,-283,834,2085,304,-156,17,1074,83,-1011,606,1243,994,132,937,1203,2044,1392,2
-73,-563,2223,1793,1113,2572,755,-678,-208,3,-475,-1386,2409,2039,-611,-1153,78,333,-178,888,2
1908,245,3273,824,421,-113,869,-475,4438,-1731,-24,-2903,139,37,-33,62,-2159,1724,-767,392,1
286,1764,-176,3007,-2031,-1764,-1095,825,-754,42,834,-848,-2603,463,3008,-1285,-373,1299,1015,-1214,1
3219,-448,419,1118,64,374,-175,2227,-123,101,-137,-165,3321,-3406,2783,-2099,204,2852,3198,734,1
-152,587,313,1928,1414,1483,331,2038,-1838,-67,1346,1463,559,143,504,-63,986,575,5,-198,2
-1976,-1708,4293,3471,1992,831,264,-5102,-447,-6213,36,-2495,-153,494,1926,3691,534,155,306,402,1
-505,488,-719,318,401,1107,-841,838,-1142,529,584,741,982,-613,-1833,103,68,873,1111,876,2
-394,-1065,999,349,1232,-1574,616,-282,122,114,-5,-1853,-22,-273,-2425,2116,-29,-1179,592,-857,1
3088,3923,-1892,-168,-869,4058,155,-1148,-1638,713,-1769,-1435,2257,1987,-1666,-5,453,-3535,-1608,263,1
